v1
0.8.1-1+
---------------------SYSTEM INFO---------------------
os,cpu,gpu,ram,kernel,driver,cpuscheduler
CachyOS,AMD Ryzen 7 9800X3D 8-Core Processor,NVIDIA GeForce RTX 4090,31909088,6.17.4-4-cachyos,,performance
--------------------FRAME METRICS--------------------
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,elapsed
172.252,5.80544,26.2025,74.2119,94,65,59,2652,10960,15.6763,255,12.2127,0,0,2127868832
173.509,5.76338,26.2025,74.2119,94,65,59,2652,10960,15.6763,255,12.2127,0,0,2227937560
176.861,5.65416,26.2025,74.2119,94,65,59,2652,10960,15.6763,255,12.2127,0,0,2328010616
169.862,5.88712,26.2025,74.2119,94,65,59,2652,10960,15.6763,255,12.2127,0,0,2428084433
166.498,6.00606,27.3885,76.6891,91,65,59,2581,10960,15.6786,255,12.2164,0,0,2528162789
178.573,5.59995,27.3885,76.6891,91,65,59,2581,10960,15.6786,255,12.2164,0,0,2628243149
177.618,5.63007,27.3885,76.6891,91,65,59,2581,10960,15.6786,255,12.2164,0,0,2728322927
175.785,5.68876,27.3885,76.6891,91,65,59,2581,10960,15.6786,255,12.2164,0,0,2828360126
176.276,5.67294,27.3885,76.6891,91,65,59,2581,10960,15.6786,255,12.2164,0,0,2928436839
175.741,5.69019,27.7707,77.2662,91,65,59,2581,10960,15.6786,255,12.2161,0,0,3028513582
167.32,5.97658,27.7707,77.2662,91,65,59,2581,10960,15.6786,255,12.2161,0,0,3128594172
168.388,5.93866,27.7707,77.2662,91,65,59,2581,10960,15.6786,255,12.2161,0,0,3228669682
152.559,6.55484,27.7707,77.2662,91,65,59,2581,10960,15.6786,255,12.2161,0,0,3328745373
162.832,6.1413,27.7707,77.2662,91,65,59,2581,10960,15.6786,255,12.2161,0,0,3428821275
163.191,6.12778,26.6582,76.7734,96,65,59,2560,10960,15.6786,257,12.2161,0,0,3528898508
167.171,5.98189,26.6582,76.7734,96,65,59,2560,10960,15.6786,257,12.2161,0,0,3628964741
165.817,6.03073,26.6582,76.7734,96,65,59,2560,10960,15.6786,257,12.2161,0,0,3729046814
